Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
1 /,72,3,3,5,5,10,1,39,0.000%,.62762,16.26,0.14
TC01_LANDING_PAGE,72,3,3,5,5,10,1,39,0.000%,.62724,16.25,0.14
2 /api/login,72,3,3,6,6,7,2,9,0.000%,.62784,0.25,0.19
TC02_LOGIN_PAGE,72,3,3,6,6,7,2,9,0.000%,.62784,0.25,0.19
3 /api/cities,10,4,4,6,6,7,3,7,0.000%,.18963,0.06,0.05
TC03_SELECT_CITIES_PAGE,3283099,0,0,0,0,0,0,7,0.000%,28706.19661,0.03,0.02
4 /api/flights,66,4,4,5,6,7,3,8,0.000%,.60745,0.39,0.21
TC04_SELECT_FLIGHT_PAGE,66,4,4,5,6,7,3,8,0.000%,.60744,0.39,0.21
5 /api/payment,66,4,4,6,7,8,3,8,0.000%,.60743,0.32,0.27
TC05_MAKE_PAYMENT_PAGE,66,4,4,6,7,8,3,8,0.000%,.60742,0.32,0.27
6 /api/logout,65,3,4,5,6,7,2,8,0.000%,.60797,0.17,0.20
TC06_LOGOUT_PAGE,65,3,4,5,6,7,2,8,0.000%,.60797,0.17,0.20
TOTAL,3283791,0,0,0,0,0,0,39,0.000%,27329.16934,33.16,1.89
